Script__SigEquipHitDetectScript log opened (PC)
310831:QUEUE_POP:7446:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
310831:POP:7446:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
311779:QUEUE_PUSH:7454:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.OnHit
311793:PUSH:7454:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
311817:QUEUE_PUSH:7456:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.OnDying
311819:QUEUE_POP:7454:0:None:_SigEquipHitDetectScript..OnHit
311819:POP:7454:0:None:_SigEquipHitDetectScript..OnHit
311820:PUSH:7456:0:None:_SigEquipHitDetectScript..OnDying
311878:QUEUE_POP:7456:0:None:_SigEquipHitDetectScript..OnDying
311894:POP:7456:0:None:_SigEquipHitDetectScript..OnDying
313265:QUEUE_PUSH:7466:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript.??.OnHit
313277:PUSH:7466:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
313295:QUEUE_POP:7466:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
313312:POP:7466:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
313795:QUEUE_PUSH:7475:0:Active effect 2 on  (FF000CF1):_SigEquipHitDetectScript.??.OnHit
313808:PUSH:7475:0:Active effect 2 on  (FF000CF1):_SigEquipHitDetectScript..OnHit
313842:QUEUE_POP:7475:0:Active effect 2 on  (FF000CF1):_SigEquipHitDetectScript..OnHit
313859:POP:7475:0:Active effect 2 on  (FF000CF1):_SigEquipHitDetectScript..OnHit
314034:QUEUE_PUSH:7478:0:Active effect 2 on  (FF000CF1):_SigEquipHitDetectScript.??.OnHit
314047:PUSH:7478:0:Active effect 2 on  (FF000CF1):_SigEquipHitDetectScript..OnHit
314099:QUEUE_POP:7478:0:Active effect 2 on  (FF000CF1):_SigEquipHitDetectScript..OnHit
314116:POP:7478:0:Active effect 2 on  (FF000CF1):_SigEquipHitDetectScript..OnHit
